virus_protein	virus_taxa	human_protein	human_gene_name	human_taxa
dip:DIP-47204N|refseq:NP_044879|uniprotkb:O41958	33708	dip:DIP-103N|uniprotkb:Q96Q89	KIF20B	9606
dip:DIP-29968N|uniprotkb:P03406	11686	dip:DIP-1051N|refseq:NP_002101|uniprotkb:P08631	HCK	9606
uniprotkb:P03406	11686	uniprotkb:P08631	HCK	9606
dip:DIP-29212N|uniprotkb:P03407	11685	dip:DIP-1051N|refseq:NP_002101|uniprotkb:P08631	HCK	9606
dip:DIP-29968N|uniprotkb:P03406	11686	dip:DIP-1051N|refseq:NP_002101|uniprotkb:P08631	HCK	9606
uniprotkb:P03406	11686	uniprotkb:P08631	HCK	9606
uniprotkb:Q6VGT6	28285	uniprotkb:P19838	NFKB1	9606
dip:DIP-61714N|uniprotkb:Q2KRZ4	28285	dip:DIP-106N|refseq:NP_003989|uniprotkb:P19838	NFKB1	9606
dip:DIP-522N|uniprotkb:Q05499	10407	dip:DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	GTF2B	9606
dip:DIP-524N|refseq:NP_044650	10298	dip:DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	GTF2B	9606
dip:DIP-524N|refseq:NP_044650	10298	dip:DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	GTF2B	9606
dip:DIP-47191N|refseq:NP_044899|uniprotkb:O41962	33708	dip:DIP-1136N|refseq:NP_001104026|uniprotkb:P21333	FLNA	9606
dip:DIP-59042N|uniprotkb:P88988	33708	dip:DIP-1136N|refseq:NP_001104026|uniprotkb:P21333	FLNA	9606
dip:DIP-1160N|uniprotkb:Q86504	10927	dip:DIP-1161N|uniprotkb:Q04637	EIF4G1	9606
dip:DIP-47244N|refseq:NP_044864|uniprotkb:P88980	33708	dip:DIP-122N|uniprotkb:P35222	CTNNB1	9606
dip:DIP-60873N|refseq:NP_647606|uniprotkb:Q69027	928302	dip:DIP-125N|uniprotkb:P10275	AR	9606
uniprotkb:Q69027	928302	uniprotkb:P10275	AR	9606
dip:DIP-570N|uniprotkb:P03254	10515	dip:DIP-147N|uniprotkb:P21675	TAF1	9606
uniprotkb:P03129	333760	uniprotkb:P28749	RBL1	9606
dip:DIP-1090N|refseq:NP_041326|uniprotkb:P03129	333760	dip:DIP-148N|uniprotkb:P28749	RBL1	9606
dip:DIP-48542N|refseq:NP_957785|uniprotkb:Q6TVW2	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVW2	647330	uniprotkb:Q13616	CUL1	9606
dip:DIP-48544N|refseq:NP_957903|uniprotkb:Q6TVJ4	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
dip:DIP-48543N|refseq:NP_957900|uniprotkb:Q6TVJ7	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVJ1	647330	uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVW2	647330	uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVJ2	647330	uniprotkb:Q13616	CUL1	9606
dip:DIP-48545N|refseq:NP_957905|uniprotkb:Q6TVJ2	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVJ4	647330	uniprotkb:Q13616	CUL1	9606
dip:DIP-48546N|refseq:NP_957906|uniprotkb:Q6TVJ1	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVJ7	647330	uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVJ2	647330	uniprotkb:P62877	RBX1	9606
dip:DIP-60886N|uniprotkb:Q72500	11676	dip:DIP-17014N|refseq:NP_055063|uniprotkb:P62877	RBX1	9606
dip:DIP-48542N|refseq:NP_957785|uniprotkb:Q6TVW2	10258	dip:DIP-17014N|refseq:NP_055063|uniprotkb:P62877	RBX1	9606
dip:DIP-48544N|refseq:NP_957903|uniprotkb:Q6TVJ4	10258	dip:DIP-17014N|refseq:NP_055063|uniprotkb:P62877	RBX1	9606
uniprotkb:Q6TVJ7	647330	uniprotkb:P62877	RBX1	9606
uniprotkb:Q6TVW2	647330	uniprotkb:P62877	RBX1	9606
uniprotkb:Q6TVJ1	647330	uniprotkb:P62877	RBX1	9606
dip:DIP-48543N|refseq:NP_957900|uniprotkb:Q6TVJ7	10258	dip:DIP-17014N|refseq:NP_055063|uniprotkb:P62877	RBX1	9606
uniprotkb:Q6TVJ4	647330	uniprotkb:P62877	RBX1	9606
dip:DIP-48545N|refseq:NP_957905|uniprotkb:Q6TVJ2	10258	dip:DIP-17014N|refseq:NP_055063|uniprotkb:P62877	RBX1	9606
dip:DIP-48546N|refseq:NP_957906|uniprotkb:Q6TVJ1	10258	dip:DIP-17014N|refseq:NP_055063|uniprotkb:P62877	RBX1	9606
uniprotkb:Q72500	11676	uniprotkb:P62877	RBX1	9606
uniprotkb:P04512	37137	uniprotkb:P56199	ITGA1	9606
uniprotkb:P04512	37137	uniprotkb:P56199	ITGA1	9606
dip:DIP-46136N|refseq:P04512|uniprotkb:P04512	37137	dip:DIP-206N|uniprotkb:P56199	ITGA1	9606
dip:DIP-46136N|refseq:P04512|uniprotkb:P04512	37137	dip:DIP-206N|uniprotkb:P56199	ITGA1	9606
dip:DIP-61722N|uniprotkb:Q2KRY9	28285	dip:DIP-2155N|refseq:NP_008855|uniprotkb:Q07955	SRSF1	9606
uniprotkb:Q6VGT1	28285	uniprotkb:Q07955	SRSF1	9606
dip:DIP-524N|refseq:NP_044650	10298	dip:DIP-226N|uniprotkb:P14859	POU2F1	9606
dip:DIP-44807N|uniprotkb:P04499	28285	dip:DIP-226N|uniprotkb:P14859	POU2F1	9606
dip:DIP-524N|refseq:NP_044650	10298	dip:DIP-226N|uniprotkb:P14859	POU2F1	9606
uniprotkb:P04499	28285	uniprotkb:P14859-1		9606
uniprotkb:O73557	11622	uniprotkb:P06730	EIF4E	9606
uniprotkb:O73557	11622	uniprotkb:P06730	EIF4E	9606
dip:DIP-58625N|uniprotkb:O73557	11622	dip:DIP-22N|refseq:NP_001959|uniprotkb:P06730	EIF4E	9606
dip:DIP-58625N|uniprotkb:O73557	11622	dip:DIP-22N|refseq:NP_001959|uniprotkb:P06730	EIF4E	9606
uniprotkb:P16778	10360	uniprotkb:Q07812	BAX	9606
dip:DIP-60096N|uniprotkb:P16778	10360	dip:DIP-232N|uniprotkb:Q07812	BAX	9606
dip:DIP-379N|uniprotkb:P04492	28282	dip:DIP-232N|uniprotkb:Q07812	BAX	9606
uniprotkb:P16778	10360	uniprotkb:Q07812	BAX	9606
dip:DIP-60096N|uniprotkb:P16778	10360	dip:DIP-232N|uniprotkb:Q07812	BAX	9606
dip:DIP-61722N|uniprotkb:Q2KRY9	28285	dip:DIP-24186N|uniprotkb:P78527	PRKDC	9606
uniprotkb:Q6VGT1	28285	uniprotkb:P78527	PRKDC	9606
dip:DIP-47232N|refseq:NP_044881|uniprotkb:P88981	33708	dip:DIP-24189N|uniprotkb:P27694	RPA1	9606
uniprotkb:P16749	10360	uniprotkb:P39748	FEN1	9606
dip:DIP-59209N|uniprotkb:P16749	10360	dip:DIP-24216N|uniprotkb:P39748	FEN1	9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-45330N|refseq:NP_044843|uniprotkb:O41925	33708	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-46114N|uniprotkb:O56652	10804	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-29816N|refseq:NP_066245|uniprotkb:A9QPL8	186538	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-24261N|uniprotkb:P62988		9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-24261N|uniprotkb:P62988		9606
uniprotkb:Q83730	31530	uniprotkb:P31749	AKT1	9606
uniprotkb:Q83730	31530	uniprotkb:P31749	AKT1	9606
dip:DIP-61134N|uniprotkb:Q83730	31530	dip:DIP-24269N|uniprotkb:P31749	AKT1	9606
dip:DIP-61134N|uniprotkb:Q83730	31530	dip:DIP-24269N|uniprotkb:P31749	AKT1	9606
uniprotkb:P06725	10360	uniprotkb:O96017	CHEK2	9606
uniprotkb:P06726	10360	uniprotkb:O96017	CHEK2	9606
uniprotkb:P06725	10360	uniprotkb:O96017	CHEK2	9606
dip:DIP-61111N|uniprotkb:P06725	10360	dip:DIP-24270N|uniprotkb:O96017	CHEK2	9606
dip:DIP-61112N|uniprotkb:P06726	10360	dip:DIP-24270N|uniprotkb:O96017	CHEK2	9606
uniprotkb:P20639	10249	uniprotkb:P19525	EIF2AK2	9606
dip:DIP-57736N|uniprotkb:P20639	10249	dip:DIP-2657N|refseq:NP_002750|uniprotkb:P19525	EIF2AK2	9606
dip:DIP-2175N|uniprotkb:P21605	10245	dip:DIP-2657N|refseq:NP_002750|uniprotkb:P19525	EIF2AK2	9606
dip:DIP-2175N|uniprotkb:P21605	10245	dip:DIP-2657N|refseq:NP_002750|uniprotkb:P19525	EIF2AK2	9606
dip:DIP-692N|uniprotkb:P15829	11676	dip:DIP-265N|refseq:NP_057535|uniprotkb:P53618	COPB1	9606
dip:DIP-692N|uniprotkb:P15829	11676	dip:DIP-265N|refseq:NP_057535|uniprotkb:P53618	COPB1	9606
uniprotkb:P17382	10585	uniprotkb:P42574	CASP3	9606
dip:DIP-29972N|uniprotkb:P17382	10585	dip:DIP-268N|refseq:NP_004337|uniprotkb:P42574	CASP3	9606
dip:DIP-570N|uniprotkb:P03254	10515	dip:DIP-270N|uniprotkb:P45984	MAPK9	9606
dip:DIP-570N|uniprotkb:P03254	10515	dip:DIP-270N|uniprotkb:P45984	MAPK9	9606
dip:DIP-570N|uniprotkb:P03254	10515	dip:DIP-270N|uniprotkb:P45984	MAPK9	9606
dip:DIP-570N|uniprotkb:P03254	10515	dip:DIP-270N|uniprotkb:P45984	MAPK9	9606
uniprotkb:P10221	10299	uniprotkb:Q9Y4K3	TRAF6	9606
refseq:NP_044625	10298	uniprotkb:Q9Y4K3	TRAF6	9606
dip:DIP-46171N|refseq:NP_044639	10298	dip:DIP-27515N|uniprotkb:Q9Y4K3	TRAF6	9606
dip:DIP-46171N|refseq:NP_044639	10298	dip:DIP-27515N|uniprotkb:Q9Y4K3	TRAF6	9606
uniprotkb:P10221	10299	uniprotkb:Q9Y4K3	TRAF6	9606
dip:DIP-46172N|refseq:NP_044625	10298	dip:DIP-27515N|uniprotkb:Q9Y4K3	TRAF6	9606
uniprotkb:P03230	10377	uniprotkb:O43318	MAP3K7	9606
dip:DIP-43767N|uniprotkb:P03230	10377	dip:DIP-27523N|uniprotkb:O43318	MAP3K7	9606
dip:DIP-46171N|refseq:NP_044639	10298	dip:DIP-27524N|uniprotkb:Q15750	TAB1	9606
uniprotkb:P10221	10299	uniprotkb:Q15750	TAB1	9606
uniprotkb:P03230	10377	uniprotkb:Q9NYJ8	TAB2	9606
dip:DIP-43767N|uniprotkb:P03230	10377	dip:DIP-27525N|uniprotkb:Q9NYJ8	TAB2	9606
uniprotkb:P10221	10299	uniprotkb:Q9NYJ8	TAB2	9606
dip:DIP-46171N|refseq:NP_044639	10298	dip:DIP-27525N|uniprotkb:Q9NYJ8	TAB2	9606
uniprotkb:P03230	10377	uniprotkb:O14920	IKBKB	9606
dip:DIP-29603N|uniprotkb:Q777A4	10376	dip:DIP-27527N|refseq:NP_001547|uniprotkb:O14920	IKBKB	9606
uniprotkb:P03230	10377	uniprotkb:O14920	IKBKB	9606
dip:DIP-47244N|refseq:NP_044864|uniprotkb:P88980	33708	dip:DIP-27540N|uniprotkb:P28074	PSMB5	9606
dip:DIP-47218N|refseq:NP_044912|uniprotkb:P89884	33708	dip:DIP-27542N|uniprotkb:Q13576	IQGAP2	9606
dip:DIP-59027N|refseq:NP_057853	11676	dip:DIP-27550N|uniprotkb:Q12824	SMARCB1	9606
uniprotkb:P04608	11706	uniprotkb:Q12824-1		9606
dip:DIP-48288N|uniprotkb:P68466	10254	dip:DIP-27551N|refseq:NP_001347|uniprotkb:O00571	DDX3X	9606
uniprotkb:P68466	10254	uniprotkb:O00571	DDX3X	9606
uniprotkb:P68466	10254	uniprotkb:O00571	DDX3X	9606
uniprotkb:P68466	10254	uniprotkb:O00571	DDX3X	9606
dip:DIP-48288N|uniprotkb:P68466	10254	dip:DIP-27551N|refseq:NP_001347|uniprotkb:O00571	DDX3X	9606
dip:DIP-48288N|uniprotkb:P68466	10254	dip:DIP-27551N|refseq:NP_001347|uniprotkb:O00571	DDX3X	9606
dip:DIP-48288N|uniprotkb:P68466	10254	dip:DIP-27551N|refseq:NP_001347|uniprotkb:O00571	DDX3X	9606
uniprotkb:P68466	10254	uniprotkb:O00571	DDX3X	9606
dip:DIP-42446N|uniprotkb:P08393	10299	dip:DIP-27562N|uniprotkb:Q93008	USP9X	9606
uniprotkb:P08393	10299	uniprotkb:Q93008	USP9X	9606
dip:DIP-42446N|uniprotkb:P08393	10299	dip:DIP-27562N|uniprotkb:Q93008	USP9X	9606
uniprotkb:P08393	10299	uniprotkb:Q93008	USP9X	9606
dip:DIP-47242N|refseq:NP_044867|uniprotkb:O41946	33708	dip:DIP-27572N|refseq:NP_002802|uniprotkb:P51665	PSMD7	9606
dip:DIP-47223N|uniprotkb:O41969	33708	dip:DIP-27577N|uniprotkb:Q15025	TNIP1	9606
dip:DIP-47225N|uniprotkb:O41964	33708	dip:DIP-27585N|uniprotkb:Q86UP2	KTN1	9606
dip:DIP-47233N|refseq:NP_044878|uniprotkb:O41957	33708	dip:DIP-27585N|uniprotkb:Q86UP2	KTN1	9606
dip:DIP-47244N|refseq:NP_044864|uniprotkb:P88980	33708	dip:DIP-27595N|refseq:NP_005339|uniprotkb:P07900	HSP90AA1	9606
dip:DIP-47228N|refseq:NP_044893|uniprotkb:P88992	33708	dip:DIP-27599N|uniprotkb:P23508	MCC	9606
dip:DIP-59042N|uniprotkb:P88988	33708	dip:DIP-27603N|refseq:NP_004757|uniprotkb:P35606	COPB2	9606
dip:DIP-29297N|uniprotkb:P31345	392809	dip:DIP-27609N|refseq:NP_036448|uniprotkb:O60684	KPNA6	9606
dip:DIP-29297N|uniprotkb:P31345	392809	dip:DIP-27609N|refseq:NP_036448|uniprotkb:O60684	KPNA6	9606
uniprotkb:P31345	392809	uniprotkb:O60684	KPNA6	9606
uniprotkb:P31345	392809	uniprotkb:O60684	KPNA6	9606
uniprotkb:P31345	392809	uniprotkb:O60684	KPNA6	9606
dip:DIP-29297N|uniprotkb:P31345	392809	dip:DIP-27609N|refseq:NP_036448|uniprotkb:O60684	KPNA6	9606
dip:DIP-46227N|uniprotkb:Q91LX9	37296	dip:DIP-27613N|uniprotkb:Q969H0	FBXW7	9606
uniprotkb:Q91LX9	37296	uniprotkb:Q969H0	FBXW7	9606
dip:DIP-46227N|uniprotkb:Q91LX9	37296	dip:DIP-27613N|uniprotkb:Q969H0	FBXW7	9606
uniprotkb:Q91LX9	37296	uniprotkb:Q969H0	FBXW7	9606
uniprotkb:Q91LX9	37296	uniprotkb:Q969H0	FBXW7	9606
dip:DIP-46227N|uniprotkb:Q91LX9	37296	dip:DIP-27613N|uniprotkb:Q969H0	FBXW7	9606
uniprotkb:Q91LX9	37296	uniprotkb:Q969H0	FBXW7	9606
uniprotkb:P03243-1	28285	uniprotkb:Q9UER7-1		9606
dip:DIP-569N|uniprotkb:P03243	28285	dip:DIP-27628N|uniprotkb:Q9UER7	DAXX	9606
uniprotkb:P03230	10377	uniprotkb:Q15628	TRADD	9606
uniprotkb:P03230	10377	uniprotkb:Q15628	TRADD	9606
dip:DIP-29603N|uniprotkb:Q777A4	10376	dip:DIP-285N|refseq:NP_003780|uniprotkb:Q15628	TRADD	9606
uniprotkb:P34015	587200	uniprotkb:P01375	TNF	9606
dip:DIP-48570N|refseq:NP_073387|uniprotkb:Q9DHW0	132475	dip:DIP-2895N|refseq:NP_000585|uniprotkb:P01375	TNF	9606
dip:DIP-61146N|uniprotkb:P34015	587200	dip:DIP-2895N|refseq:NP_000585|uniprotkb:P01375	TNF	9606
dip:DIP-48570N|refseq:NP_073387|uniprotkb:Q9DHW0	132475	dip:DIP-2895N|refseq:NP_000585|uniprotkb:P01375	TNF	9606
uniprotkb:Q9DHW0	132475	uniprotkb:P01375	TNF	9606
uniprotkb:Q9YP87	10243	uniprotkb:P01375	TNF	9606
dip:DIP-61149N|refseq:NP_619973|uniprotkb:Q9YP87	10243	dip:DIP-2895N|refseq:NP_000585|uniprotkb:P01375	TNF	9606
uniprotkb:Q9DHW0	132475	uniprotkb:P01375	TNF	9606
dip:DIP-59027N|refseq:NP_057853	11676	dip:DIP-29016N|refseq:NP_001252|uniprotkb:P50750	CDK9	9606
uniprotkb:P04608	11706	uniprotkb:P50750	CDK9	9606
uniprotkb:P04608	11706	uniprotkb:P50750	CDK9	9606
dip:DIP-59027N|refseq:NP_057853	11676	dip:DIP-29016N|refseq:NP_001252|uniprotkb:P50750	CDK9	9606
dip:DIP-47251N|refseq:NP_044851|uniprotkb:O41932	33708	dip:DIP-29042N|refseq:NP_003932|uniprotkb:O00401	WASL	9606
uniprotkb:F5H9D8	37296	uniprotkb:Q93009	USP7	9606
dip:DIP-29054N|refseq:YP_401677|uniprotkb:P03211	10376	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
uniprotkb:F5H9D8	37296	uniprotkb:Q93009	USP7	9606
uniprotkb:P03211	10377	uniprotkb:Q93009	USP7	9606
dip:DIP-60536N|uniprotkb:F5H9D8	37296	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
uniprotkb:F5H9D8	37296	uniprotkb:Q93009	USP7	9606
dip:DIP-60536N|uniprotkb:F5H9D8	37296	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
dip:DIP-60536N|uniprotkb:F5H9D8	37296	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
dip:DIP-29054N|refseq:YP_401677|uniprotkb:P03211	10376	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
dip:DIP-60536N|uniprotkb:F5H9D8	37296	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
uniprotkb:F5H9D8	37296	uniprotkb:Q93009	USP7	9606
uniprotkb:P03211	10377	uniprotkb:Q93009	USP7	9606
uniprotkb:P03211	10377	uniprotkb:Q93009	USP7	9606
dip:DIP-60536N|uniprotkb:F5H9D8	37296	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
dip:DIP-42446N|uniprotkb:P08393	10299	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
uniprotkb:F5H9D8	37296	uniprotkb:Q93009	USP7	9606
dip:DIP-29054N|refseq:YP_401677|uniprotkb:P03211	10376	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
uniprotkb:P08393	10299	uniprotkb:Q93009	USP7	9606
uniprotkb:F5H9D8	37296	uniprotkb:Q93009	USP7	9606
uniprotkb:F5H9D8	37296	uniprotkb:Q93009	USP7	9606
dip:DIP-60536N|uniprotkb:F5H9D8	37296	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
dip:DIP-29054N|refseq:YP_401677|uniprotkb:P03211	10376	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
uniprotkb:P03211	10377	uniprotkb:Q93009	USP7	9606
dip:DIP-60536N|uniprotkb:F5H9D8	37296	dip:DIP-29053N|refseq:NP_003461|uniprotkb:Q93009	USP7	9606
dip:DIP-47234N|refseq:NP_044876|uniprotkb:O41955	33708	dip:DIP-29078N|uniprotkb:P63279	UBE2I	9606
dip:DIP-47223N|uniprotkb:O41969	33708	dip:DIP-29078N|uniprotkb:P63279	UBE2I	9606
uniprotkb:P03243-1	28285	uniprotkb:P63279	UBE2I	9606
dip:DIP-569N|uniprotkb:P03243	28285	dip:DIP-29078N|uniprotkb:P63279	UBE2I	9606
dip:DIP-569N|uniprotkb:P03243	28285	dip:DIP-29080N|uniprotkb:P63165	SUMO1	9606
uniprotkb:P03243-1	28285	uniprotkb:P63165	SUMO1	9606
uniprotkb:P34015	587200	uniprotkb:P01374	LTA	9606
dip:DIP-61146N|uniprotkb:P34015	587200	dip:DIP-2910N|uniprotkb:P01374	LTA	9606
dip:DIP-39168N|uniprotkb:P03182	10377	dip:DIP-29185N|uniprotkb:O43521	BCL2L11	9606
uniprotkb:P03182	10377	uniprotkb:O43521	BCL2L11	9606
uniprotkb:P04488	10299	uniprotkb:P01857	IGHG1	9606
dip:DIP-29186N|refseq:NP_044670|uniprotkb:P04488	10299	dip:DIP-29187N|uniprotkb:P01857	IGHG1	9606
uniprotkb:P04488	10299	uniprotkb:P01857	IGHG1	9606
dip:DIP-29186N|refseq:NP_044670|uniprotkb:P04488	10299	dip:DIP-29187N|uniprotkb:P01857	IGHG1	9606
dip:DIP-29212N|uniprotkb:P03407	11685	dip:DIP-29211N|refseq:NP_005493|uniprotkb:O95477	ABCA1	9606
uniprotkb:P03407	11685	uniprotkb:O95477	ABCA1	9606
uniprotkb:P16749	10360	uniprotkb:P62993-1		9606
dip:DIP-59209N|uniprotkb:P16749	10360	dip:DIP-29229N|uniprotkb:P62993	GRB2	9606
intact:EBI-7355238	11676	uniprotkb:P63000-1		9606
dip:DIP-47194N|refseq:NP_044896|uniprotkb:P88995	33708	dip:DIP-2928N|refseq:NP_002333|uniprotkb:P36941	LTBR	9606
dip:DIP-29297N|uniprotkb:P31345	392809	dip:DIP-29296N|refseq:NP_002255|uniprotkb:P52294	KPNA1	9606
dip:DIP-29297N|uniprotkb:P31345	392809	dip:DIP-29296N|refseq:NP_002255|uniprotkb:P52294	KPNA1	9606
uniprotkb:P31345	392809	uniprotkb:P52294	KPNA1	9606
dip:DIP-29297N|uniprotkb:P31345	392809	dip:DIP-29296N|refseq:NP_002255|uniprotkb:P52294	KPNA1	9606
uniprotkb:P31345	392809	uniprotkb:P52294	KPNA1	9606
uniprotkb:P31345	392809	uniprotkb:P52294	KPNA1	9606
dip:DIP-47194N|refseq:NP_044896|uniprotkb:P88995	33708	dip:DIP-29304N|uniprotkb:P18850	ATF6	9606
uniprotkb:Q90VU7	11676	uniprotkb:Q8WUM4	PDCD6IP	9606
uniprotkb:Q90VU7	11676	uniprotkb:Q8WUM4	PDCD6IP	9606
dip:DIP-59405N|refseq:NP_579881	11676	dip:DIP-29327N|refseq:NP_037506|uniprotkb:Q8WUM4	PDCD6IP	9606
uniprotkb:Q88019	11723	uniprotkb:Q8WUM4	PDCD6IP	9606
uniprotkb:O90156	11676	uniprotkb:Q8WUM4	PDCD6IP	9606
dip:DIP-61620N|uniprotkb:P26806	11797	dip:DIP-29327N|refseq:NP_037506|uniprotkb:Q8WUM4	PDCD6IP	9606
uniprotkb:P26806	11797	uniprotkb:Q8WUM4	PDCD6IP	9606
intact:EBI-15621073	11676	uniprotkb:Q8WUM4	PDCD6IP	9606
refseq:NP_579881	11676	uniprotkb:Q8WUM4	PDCD6IP	9606
uniprotkb:Q306M3	11676	uniprotkb:Q8WUM4	PDCD6IP	9606
dip:DIP-61725N|uniprotkb:Q306M3	11676	dip:DIP-29327N|refseq:NP_037506|uniprotkb:Q8WUM4	PDCD6IP	9606
uniprotkb:Q90VU7	11676	uniprotkb:Q8WUM4	PDCD6IP	9606
dip:DIP-61726N|uniprotkb:O90156	11676	dip:DIP-29327N|refseq:NP_037506|uniprotkb:Q8WUM4	PDCD6IP	9606
uniprotkb:P03081	1891767	uniprotkb:P30153	PPP2R1A	9606
uniprotkb:P03081	1891767	uniprotkb:P30153	PPP2R1A	9606
uniprotkb:P03081	1891767	uniprotkb:P30153	PPP2R1A	9606
dip:DIP-2655N|uniprotkb:P24768	10245	dip:DIP-29402N|refseq:NP_006302|uniprotkb:O75376	NCOR1	9606
dip:DIP-47252N|refseq:NP_044850|uniprotkb:O41931	33708	dip:DIP-29547N|uniprotkb:P02751	FN1	9606
dip:DIP-47239N|refseq:NP_044870|uniprotkb:O41949	33708	dip:DIP-29547N|uniprotkb:P02751	FN1	9606
uniprotkb:P12504	11698	uniprotkb:Q15370-1		9606
uniprotkb:P69723	11706	uniprotkb:Q15370-1		9606
dip:DIP-61318N|uniprotkb:P69723	11706	dip:DIP-29570N|refseq:NP_009039|uniprotkb:Q15370	ELOB	9606
dip:DIP-36069N|uniprotkb:P12504	11698	dip:DIP-29570N|refseq:NP_009039|uniprotkb:Q15370	ELOB	9606
dip:DIP-36069N|uniprotkb:P12504	11698	dip:DIP-29571N|refseq:NP_005639|uniprotkb:Q15369	ELOC	9606
uniprotkb:P12504	11698	uniprotkb:Q15369-1		9606
dip:DIP-61722N|uniprotkb:Q2KRY9	28285	dip:DIP-29586N|refseq:NP_006654|uniprotkb:Q8WUF5	PPP1R13L	9606
uniprotkb:Q6VGT1	28285	uniprotkb:Q8WUF5	PPP1R13L	9606
dip:DIP-59042N|uniprotkb:P88988	33708	dip:DIP-29619N|refseq:NP_000030|uniprotkb:P02647	APOA1	9606
dip:DIP-47190N|refseq:NP_044900|uniprotkb:O41963	33708	dip:DIP-29619N|refseq:NP_000030|uniprotkb:P02647	APOA1	9606
dip:DIP-47242N|refseq:NP_044867|uniprotkb:O41946	33708	dip:DIP-29643N|uniprotkb:P02671	FGA	9606
dip:DIP-47180N|refseq:NP_597855|uniprotkb:Q9QAI7	33708	dip:DIP-29643N|uniprotkb:P02671	FGA	9606
uniprotkb:Q77YG1	11676	uniprotkb:O15524	SOCS1	9606
dip:DIP-29661N|refseq:NP_057850	11676	dip:DIP-29662N|refseq:NP_003736|uniprotkb:O15524	SOCS1	9606
dip:DIP-29661N|refseq:NP_057850	11676	dip:DIP-29662N|refseq:NP_003736|uniprotkb:O15524	SOCS1	9606
uniprotkb:Q77YG1	11676	uniprotkb:O15524	SOCS1	9606
uniprotkb:D3YRZ7	311339	uniprotkb:P60842	EIF4A1	9606
dip:DIP-59210N|uniprotkb:D3YRZ7	10363	dip:DIP-29755N|refseq:NP_001407|uniprotkb:P60842	EIF4A1	9606
dip:DIP-59209N|uniprotkb:P16749	10360	dip:DIP-29755N|refseq:NP_001407|uniprotkb:P60842	EIF4A1	9606
uniprotkb:P16749	10360	uniprotkb:P60842	EIF4A1	9606
uniprotkb:Q6TQR6	652961	uniprotkb:P05161	ISG15	9606
uniprotkb:P03495	381517	uniprotkb:P05161	ISG15	9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-29814N|refseq:NP_005092|uniprotkb:P05161	ISG15	9606
uniprotkb:P03502	518987	uniprotkb:P05161	ISG15	9606
dip:DIP-46282N|uniprotkb:P03495	381517	dip:DIP-29814N|refseq:NP_005092|uniprotkb:P05161	ISG15	9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-29814N|refseq:NP_005092|uniprotkb:P05161	ISG15	9606
uniprotkb:Q6TQR6	652961	uniprotkb:P05161	ISG15	9606
uniprotkb:Q6TQR6	652961	uniprotkb:P05161	ISG15	9606
dip:DIP-60307N|uniprotkb:Q6TQR6	652961	dip:DIP-29814N|refseq:NP_005092|uniprotkb:P05161	ISG15	9606
